id,number,norm_number,title_fr,stored_date,stored_year,expected_year,problem,auto_fixable
1,Dahir n° 1-03-194,1-03-194,Dahir n° 1-03-194 du 14 rejeb 1424 (11 septembre 2003) portant promulgation de l,2003-09-11,,,number contient le type → devrait être '1-03-194',True
2,Décret n°2.92.264,2-92-264,Décret n°2.92.264 fixant les modalités et les conditions d'octroi d'une indemnit,1993-05-18,,,number contient le type → devrait être '2-92-264',True
3,Dahir n° 1-15-83,1-15-83,Dahir n° 1-15-83 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la ,2015-07-07,,,number contient le type → devrait être '1-15-83',True
4,Dahir n° 1-15-85,1-15-85,Dahir n° 1-15-85 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la ,2015-07-07,,,number contient le type → devrait être '1-15-85',True
5,Dahir n° 1-15-84,1-15-84,Dahir n° 1-15-84 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la ,2015-07-07,,,number contient le type → devrait être '1-15-84',True
15,Loi n°16.09,16-09,Loi n° 16.09 relative à l'Agence marocaine pour l'efficacité énergétique,2024-07-07,,,number contient le type → devrait être '16-09',True
19,Dahir n°1-58-376,1-58-376,Dahir n° 1-58-376 portant sur le droit d'association.,1958-11-15,,,number contient le type → devrait être '1-58-376',True
20,Dahir n° 1-23-93,1-23-93,Dahir n° 1-23-93 du 29 novembre 2023 portant modification et complétant le Dahir,2023-11-29,,,number contient le type → devrait être '1-23-93',True
22,Loi n° 20-13,20-13,Loi n° 20-13 relative au Conseil de la Concurrence,2014-07-30,,,number contient le type → devrait être '20-13',True
24,Dahir n°1-23-108,1-23-108,Dahir n° 1-23-108 du 29 novembre 2023 portant promulgation de la loi n° 24-96 re,2023-11-29,,,number contient le type → devrait être '1-23-108',True
30,Décret n°2.02.177,2-02-177,Décret n° 2-02-177 du 22 moharrem 1423 (22 février 2002) portant approbation du ,2002-02-22,,,number contient le type → devrait être '2-02-177',True
31,Décret n°2.10.313 du 20 Chaoual 1431 (29 septembre 2010),2-10-313-du-20-chaoual-1431-(29-septembre-2010),Décret n° 2.10.313 du 20 Chaoual 1431 (29 septembre 2010) portant application de,2010-09-29,,,number contient le type → devrait être '2-10-313-du-20-chaoual-1431-(29-septembre-2010)',True
32,Décret n° 2-23-936,2-23-936,"Décret n° 2-23-936 relatif aux poids et dimensions des véhicules, modifiant et c",2023-11-29,,,number contient le type → devrait être '2-23-936',True
33,Décret n° 2.12.666,2-12-666,relatif à l'approbation du règlement de construction parasismique applicable aux,2013-05-28,,,number contient le type → devrait être '2-12-666',True
34,Décret n°2.13.820,2-13-820,Décret n° 2.13.820 relatif à l'amélioration de la mise en œuvre des opérations d,2024-03-07,,,number contient le type → devrait être '2-13-820',True
36,Décret n°2.14.791,2-14-791,Décret n° 2.14.791 fixant les conditions et les modalités de bénéfice de l'aide ,2014-12-04,,,number contient le type → devrait être '2-14-791',True
38,Décret n° 2.15.426,2-15-426,Décret n° 2.15.426 du 28 Ramadan 1436 (15 juillet 2015) relatif à la préparation,2015-07-15,,,number contient le type → devrait être '2-15-426',True
39,Décret n°2.24.264,2-24-264,Décret n°2.24.264 modifiant et complétant le décret n°2.18.622 du 10 Joumada I 1,2024-03-29,,,number contient le type → devrait être '2-24-264',True
41,Dahir  n° 1-23-95,1-23-95,Dahir n° 1-23-95 du 29 novembre 2023 portant modification du décret n° 2.19.971 ,2023-11-29,,,number contient le type → devrait être '1-23-95',True
42,Décret n°2.22.797,2-22-797,Décret n°2.22.797 portant application de la loi n° 65.00 relative à l'assurance ,2022-11-29,,,number contient le type → devrait être '2-22-797',True
43,Décret n° 2.23.1067,2-23-1067,Décret n° 2.23.1067 portant application de la loi n° 58.23 relative au régime d’,2023-12-17,,,number contient le type → devrait être '2-23-1067',True
44,Décret n°2.23.690,2-23-690,Décret n° 2.23.690 du 15 décembre 2023 portant application de la loi n° 60.22 re,2023-12-15,,,number contient le type → devrait être '2-23-690',True
53,Loi n°47.18,47-18,Loi n° 47.18 modifiant et complétant la loi n° 1-04-22 relative aux centres régi,2019-02-13,,,number contient le type → devrait être '47-18',True
75,Loi n°16.09,16-09,Loi n° 16-09 relative à l'Agence marocaine pour l'efficacité énergétique,2024-07-07,,,number contient le type → devrait être '16-09',True
79,Dahir n° 1-58-376,1-58-376,Dahir n° 1-58-376 portant sur le droit d'association.,1958-11-15,,,number contient le type → devrait être '1-58-376',True
81,Dahir n°1-73-255,1-73-255,Dahir n° 1-73-255 du 22 moharrem 1393 (22 février 1973) portant la loi n° 1.72.2,1973-03-22,,,number contient le type → devrait être '1-73-255',True
82,Loi n° 20-13,20-13,Loi n° 20-13 relative au Conseil de la Concurrence,2014-07-30,,,number contient le type → devrait être '20-13',True
84,Loi-n°24-96-portant-sur-les-télécommunications,n°24-96-portant-sur-les-télécommunications,Loi n° 24-96 relative aux télécommunications,2023-11-29,,,number contient le type → devrait être 'n°24-96-portant-sur-les-télécommunications',True
90,Décret n°2.02.177,2-02-177,Décret n° 2-02-177 du 9 joumada II 1423 (22 août 2002) approuvant le règlement d,2002-02-22,,,number contient le type → devrait être '2-02-177',True
92,Décret n° 2-23-936,2-23-936,Décret n° 2-23-936 relatif aux poids et dimensions des véhicules,2023-11-29,,,number contient le type → devrait être '2-23-936',True
93,Décret n° 2.12.666,2-12-666,Décret n° 2.12.666 relatif à l'approbation du règlement de construction parasism,2013-05-28,,,number contient le type → devrait être '2-12-666',True
95,Décret n°2.14.782,2-14-782,décret n° 2.14.782 relatif aux modalités de fonctionnement de la police de l'env,2015-05-19,,,number contient le type → devrait être '2-14-782',True
96,Décret n°2.14.791,2-14-791,Décret n° 2.14.791 fixant les conditions et modalités de l'aide directe aux femm,2014-12-04,,,number contient le type → devrait être '2-14-791',True
