Priorité;Domaine;Type;Numéro;Titre_FR;Titre_AR;Mots_clés_variantes;Règle_de_vérification
1;Constitution et institutions;Constitution;2011;Constitution du Royaume du Maroc;دستور المملكة المغربية;constitution maroc 2011 دستور 2011;Vérifier texte principal
1;Constitution et institutions;Loi organique;130-13;Loi organique relative à la loi de finances;القانون التنظيمي لقانون المالية;LOF loi organique finances;Vérifier version consolidée
1;Constitution et institutions;Loi organique;02-12;Nomination aux fonctions supérieures;التعيين في المناصب العليا;fonctions supérieures articles 49 92 constitution;Vérifier version consolidée
1;Constitution et institutions;Loi organique;44-14;Pétitions aux pouvoirs publics;تقديم العرائض إلى السلطات العمومية;pétitions pouvoirs publics;Vérifier version consolidée
1;Constitution et institutions;Loi organique;64-14;Motions en matière législative;تقديم الملتمسات في مجال التشريع;motions législatives;Vérifier version consolidée
1;Constitution et institutions;Loi organique;;Chambre des représentants;مجلس النواب;loi organique chambre représentants;Vérifier par titre
1;Constitution et institutions;Loi organique;;Chambre des conseillers;مجلس المستشارين;loi organique chambre conseillers;Vérifier par titre
1;Constitution et institutions;Loi organique;;Partis politiques;الأحزاب السياسية;loi organique partis politiques;Vérifier par titre
1;Constitution et institutions;Loi organique;;Élection des membres des conseils des collectivités territoriales;انتخاب أعضاء مجالس الجماعات الترابية;élections collectivités territoriales;Vérifier par titre
1;Constitution et institutions;Loi organique;;Cour constitutionnelle;المحكمة الدستورية;loi organique cour constitutionnelle;Vérifier par titre
1;Constitution et institutions;Loi organique;;Conseil économique social et environnemental;المجلس الاقتصادي والاجتماعي والبيئي;CESE conseil économique;Vérifier par titre
1;Constitution et institutions;Loi organique;;Conseil supérieur du pouvoir judiciaire;المجلس الأعلى للسلطة القضائية;CSPJ pouvoir judiciaire;Vérifier version consolidée
1;Constitution et institutions;Loi organique;;Statut des magistrats;النظام الأساسي للقضاة;magistrats statut;Vérifier version consolidée
1;Codes fondamentaux;Code;;Code des obligations et des contrats;قانون الالتزامات والعقود;DOC obligations contrats;Texte indispensable
1;Codes fondamentaux;Code;;Code pénal;القانون الجنائي;droit pénal code criminel;Vérifier version consolidée
1;Codes fondamentaux;Code;;Code de procédure pénale;قانون المسطرة الجنائية;CPP procédure pénale;Vérifier version consolidée
1;Codes fondamentaux;Code;;Code de procédure civile;قانون المسطرة المدنية;CPC procédure civile;Vérifier version consolidée
1;Codes fondamentaux;Code;;Code de la famille;مدونة الأسرة;moudawana famille mariage divorce;Vérifier version consolidée
1;Codes fondamentaux;Code;65-99;Code du travail;مدونة الشغل;travail salarié licenciement;Vérifier version consolidée
1;Codes fondamentaux;Code;15-95;Code de commerce;مدونة التجارة;commerce entreprise commerçant;Vérifier version consolidée
1;Codes fondamentaux;Code;39-08;Code des droits réels;مدونة الحقوق العينية;droits réels immobilier foncier;Vérifier version consolidée
1;Codes fondamentaux;Code;15-97;Code de recouvrement des créances publiques;مدونة تحصيل الديون العمومية;recouvrement créances publiques;Vérifier version consolidée
1;Codes fondamentaux;Code;;Code général des impôts;المدونة العامة للضرائب;CGI impôts fiscalité;Vérifier versions annuelles
1;Codes fondamentaux;Code;;Code des douanes et impôts indirects;مدونة الجمارك والضرائب غير المباشرة;douanes taxes indirectes;Vérifier version consolidée
1;Codes fondamentaux;Code;52-05;Code de la route;مدونة السير على الطرق;permis circulation infractions;Vérifier version consolidée
2;Codes fondamentaux;Code;;Code des assurances;مدونة التأمينات;assurance ACAPS;Vérifier version consolidée
2;Codes fondamentaux;Code;;Code du médicament et de la pharmacie;مدونة الأدوية والصيدلة;médicament pharmacie;Vérifier version consolidée
2;Codes fondamentaux;Code;;Code des Habous;مدونة الأوقاف;habous awqaf;Vérifier version consolidée
2;Codes fondamentaux;Code;;Code de la nationalité marocaine;قانون الجنسية المغربية;nationalité citoyenneté;Vérifier version applicable
2;Codes fondamentaux;Code;;Code électoral;مدونة الانتخابات;élections listes électorales;Vérifier version applicable
1;Collectivités territoriales;Loi organique;111-14;Loi organique relative aux régions;القانون التنظيمي المتعلق بالجهات;régions conseil régional;Très prioritaire
1;Collectivités territoriales;Loi organique;112-14;Loi organique relative aux préfectures et provinces;القانون التنظيمي المتعلق بالعمالات والأقاليم;préfectures provinces;Très prioritaire
1;Collectivités territoriales;Loi organique;113-14;Loi organique relative aux communes;القانون التنظيمي المتعلق بالجماعات;communes conseil communal;Très prioritaire
1;Collectivités territoriales;Loi;47-06;Fiscalité des collectivités territoriales;جبايات الجماعات الترابية;taxes communales fiscalité locale;Vérifier version consolidée
1;Collectivités territoriales;Texte réglementaire;;Régime financier des collectivités territoriales;النظام المالي للجماعات الترابية;budget commune région;Vérifier décrets
1;Collectivités territoriales;Texte réglementaire;;Comptabilité publique des collectivités territoriales;المحاسبة العمومية للجماعات الترابية;comptable public ordonnateur;Vérifier décrets
1;Collectivités territoriales;Texte réglementaire;;Patrimoine des collectivités territoriales;أملاك الجماعات الترابية;patrimoine communal domaine privé communal;Vérifier par titre
1;Collectivités territoriales;Texte réglementaire;;Domaine public communal;الملك العام الجماعي;occupation domaine public;Vérifier par titre
1;Collectivités territoriales;Texte réglementaire;;Police administrative communale;الشرطة الإدارية الجماعية;hygiène sécurité tranquillité;Vérifier par titre
1;Collectivités territoriales;Texte réglementaire;;Indemnités des élus locaux;تعويضات المنتخبين المحليين;indemnités président vice-président conseiller;Vérifier par titre
1;Collectivités territoriales;Texte réglementaire;;Statut de l'élu local;وضعية المنتخب المحلي;élu local incompatibilités révocation;Vérifier par titre
1;Collectivités territoriales;Texte réglementaire;;Plan d'action communal;برنامج عمل الجماعة;PAC commune planification;Vérifier textes d'application
1;Collectivités territoriales;Texte réglementaire;;Programme de développement régional;برنامج التنمية الجهوية;PDR région;Vérifier textes d'application
1;Collectivités territoriales;Texte réglementaire;;Programme de développement de la préfecture ou province;برنامج تنمية العمالة أو الإقليم;PDP province préfecture;Vérifier textes d'application
1;Collectivités territoriales;Texte réglementaire;;Groupements de collectivités territoriales;مجموعات الجماعات الترابية;groupement intercommunal coopération;Vérifier textes
1;Collectivités territoriales;Bulletin officiel;;Bulletin Officiel des Collectivités Territoriales;النشرة الرسمية للجماعات الترابية;BOCT décisions arrêtés;Vérifier catégorie/source
1;Finances publiques;Loi organique;130-13;Loi organique relative à la loi de finances;القانون التنظيمي لقانون المالية;LOF budget;Vérifier version consolidée
1;Finances publiques;Décret;2-15-426;Décret relatif à l'élaboration et à l'exécution des lois de finances;مرسوم إعداد وتنفيذ قوانين المالية;exécution loi finances;Vérifier version consolidée
1;Finances publiques;Loi annuelle;;Loi de finances 2026;قانون المالية 2026;LF 2026 budget 2026;Vérifier version annuelle
1;Finances publiques;Loi annuelle;;Loi de finances 2025;قانون المالية 2025;LF 2025 budget 2025;Vérifier version annuelle
1;Finances publiques;Loi annuelle;;Loi de finances 2024;قانون المالية 2024;LF 2024 budget 2024;Vérifier version annuelle
1;Finances publiques;Loi annuelle;;Loi de finances 2023;قانون المالية 2023;LF 2023 budget 2023;Vérifier version annuelle
1;Finances publiques;Loi annuelle;;Loi de règlement;قانون التصفية;budget règlement loi finances;Vérifier par année
1;Finances publiques;Décret royal;330-66;Règlement général de comptabilité publique;النظام العام للمحاسبة العمومية;RGCP comptabilité publique;Vérifier version consolidée
1;Finances publiques;Loi;69-00;Contrôle financier de l'État sur les entreprises publiques et autres organismes;المراقبة المالية للدولة على المنشآت العامة;contrôle financier EEP;Vérifier version consolidée
1;Finances publiques;Loi;15-97;Code de recouvrement des créances publiques;مدونة تحصيل الديون العمومية;recouvrement public;Vérifier version consolidée
2;Finances publiques;Loi;86-12;Contrats de partenariat public-privé;عقود الشراكة بين القطاعين العام والخاص;PPP partenariat public privé;Vérifier version consolidée
2;Finances publiques;Texte réglementaire;;Gestion budgétaire et comptable des ministères;التدبير الميزانياتي والمحاسبي;GBCP budget État;Vérifier texte applicable
2;Finances publiques;Texte réglementaire;;Services de l'État gérés de manière autonome;مصالح الدولة المسيرة بصورة مستقلة;SEGMA;Vérifier textes
2;Finances publiques;Texte réglementaire;;Comptes spéciaux du Trésor;الحسابات الخصوصية للخزينة;CST trésor;Vérifier textes
1;Marchés publics;Décret;2-22-431;Décret relatif aux marchés publics;مرسوم الصفقات العمومية;marchés publics commande publique;Très prioritaire
1;Marchés publics;Arrêté;;Arrêtés d'application du décret relatif aux marchés publics;قرارات تطبيقية متعلقة بالصفقات العمومية;arrêtés marchés publics;Vérifier textes d'application
1;Marchés publics;Texte réglementaire;;Cahiers des clauses administratives générales;دفاتر الشروط الإدارية العامة;CCAG travaux services fournitures;Vérifier CCAG
1;Marchés publics;Texte réglementaire;;Bons de commande;سندات الطلب;commande publique bons commande;Vérifier règles applicables
1;Marchés publics;Texte réglementaire;;Commission nationale de la commande publique;اللجنة الوطنية للطلبيات العمومية;CNCP commande publique;Vérifier textes
1;Marchés publics;Texte réglementaire;;Dématérialisation des marchés publics;التدبير الإلكتروني للصفقات العمومية;portail marchés publics;Vérifier textes
2;Marchés publics;Texte réglementaire;;Architecture et maîtrise d'œuvre;الهندسة المعمارية وتتبع الأشغال;concours architectural maîtrise œuvre;Vérifier textes
